,trackID,trackTitle,artistName,trackPopularity,releaseDate,artistFollowers,topGenre1,topGenre2,artistID,albumID,songID,audio_Duration_ms,set_subset,set_split
52,52,If He'd Love Me,Nancy Sinatra,19.0,1966,177727.0,OTHER,Pop,3IZrrNonYELubLPJmqOci2,62FTy4WqUxi3paBlxOhh4M,SOAAEUG12A8C137BF1,167993,small,train
76,76,Your Freedom,No Innocent Victim,0.0,2005,2386.0,Rock,Metal,04Iukg2oRw5EqVoHuFkL0i,2eWXGgyZSIPCcoG6Pt1rqU,SOAAGRF12A8C141E3D,123027,small,train
83,83,For What It's Worth - Live,"Crosby, Stills, Nash & Young",20.0,2008,442846.0,Rock,Rock,1CYsQCypByMVgnv17qsSbQ,0qVeQhSSDd8bHlBteR4NH0,SOAAHHQ12A8C13474F,289800,small,train
84,84,Nothing To Do,Funki Porcini,2.0,1999,24485.0,Jazz,Hip-hop,2RNUVT2Tl938bULcNzDRNw,1qs5QmF4SCU4AbHy9biDtG,SOAAHKN12AB0183647,330173,small,train
85,85,To The Mountains,Bigbang,29.0,2007,,,,4O5orcvZe8L5RbquVB6YMK,0udyJrezI3ppreLaVqCsYO,SOAAHPQ12A8C13B476,267040,small,train
87,87,Class War,The Dils,3.0,2015,,,,207lkKoDm8dg0yMGIA56tW,1xTwxnNC0qMTdTkX8fW7b5,SOAAHYK12AB01802EF,102507,small,train
94,94,Night Of The Long Knives,Marduk,11.0,2003,79057.0,Metal,Metal,2lxB5NTcQXj7GGRR4xAVaH,31IlAe2ygmOy3CWYMyRm3I,SOAAINO12AB0189595,331187,small,train
105,105,Salai,A Life Once Lost,8.0,2005,6683.0,Metal,OTHER,6ZIzy7TzXUle6nIRDcK44a,0vgorTf6BHrYfA9WqgAnxi,SOAAJKQ12A6D4FC661,155040,small,test
110,110,Älä koskaan ikinä,Egotrippi,10.0,2003,12971.0,Indie,Pop,1RJkmcXtvDdyhfn2PbrZzQ,3SfVg9mtx92QmQl0O0BEFB,SOAAJYY12A8AE45C5A,185173,small,train
118,118,Saturday Night Sunday Morning,Feat Juliet Roberts,0.0,2011,,,,7q0sscvfhxYjKG5amjQTJZ,3ZbZAuu4DOuZAWnN8ADim6,SOAAKQI12A8AE47454,204773,small,train
125,125,A Call To Arms,The Winter Sounds,0.0,2007,639.0,Rock,,2hHf2r0ofRXVHRbr9jhe5K,2bbBN5YPccJTgR2cAJD93G,SOAALHU12A8C13D38E,328920,small,train
130,130,Bonanza,Blood On The Saddle,3.0,1995,380.0,OTHER,,1xhRKZEnpmCGtM3kRg0U0s,6OBnc8dcG4GcgljrUSY32f,SOAAMAR12AB018601E,81733,small,test
162,162,Dancing Nation - Radio Edit,OverDrive Division,0.0,2007,154.0,Electronic/Dance,,3Xa7rXld5hoKbDVMpKw72u,53zKV09motSy0luxYNeodC,SOAAPIU12A6BD556DD,227091,small,train
164,164,In My Hands,Jaheim,31.0,2010,635211.0,Pop,Pop,4sbB4Yy6Qig51pKCIKSLw3,3BkA0ApO1f629906pM6yGW,SOAAPKI12AB018C43A,284360,small,train
167,167,January Twenty Something,WHY?,8.0,2009,55158.0,Hip-hop,Folk&Accoustic,0d7aBBLFcc4dlETnae6zcH,0vZU8uDYJ6irbMX3iEIDIC,SOAAPOW12A58A787BA,144093,small,test
171,171,Too Funky - Single Edit,George Michael,38.0,1998,1353685.0,Rock,Pop,19ra5tSw0tWufvUp8GotLo,0IJcpy0eM4o63J43qij68g,SOAAPTP12A8AE46F86,225027,small,train
174,174,Jah Kingdom,Bong-Ra,3.0,2007,6042.0,Electronic/Dance,Electronic/Dance,6dD5LzTwdYS3gRvRSCOIVP,3kxy2gQM7vDRF70TakuGhv,SOAAQMC12A8C13F665,260240,small,train
175,175,Shock Out,Little John,0.0,2012,5208.0,Reggae,Electronic/Dance,5bNXBeR6aWZC2SrZL0oNFh,2BGMJcXOqA1HWcCHK6qNsq,SOAAQUH12A8C144C1F,208600,small,train
177,177,The Owl Moans Low,Lonely Drifter Karen,24.0,2008,3091.0,Punk,,4irZYbJVWcTQ2P7ZT2AFCv,38ti2ZoTIWxGofVIenXogo,SOAARCM12A8C13F36D,68387,small,test
179,179,DPGC Muzic,Tha Dogg Pound,9.0,2008,284516.0,Funk,Hip-hop,5UtQf6Eqewo02lVCo3lImQ,0UljTj5fLg4CZfNm0EJ0Rh,SOAARGA12AB01882BA,262333,small,train
180,180,Moments In The Snow,Comet Gain,3.0,2008,3419.0,Indie,Pop,1QFSWSYQpinYxsaAMG8jF2,5zWSy5DPsNTixCYWQ0Jytq,SOAARHL12AB017DBBC,171320,small,test
184,184,African Dub,Joe Gibbs & The Professionals,7.0,2007,2717.0,Electronic/Dance,Reggae,3Vu3veu71fkooIRUtCcRwK,2gGiONPpnfBDF3Ycijq9Xb,SOAARTQ12A8C136AEE,180080,small,train
188,188,Cae la Nieve,Los Niños De Sara,1.0,2001,,,,70LUNBh99F83a19w4RqrY2,2RLhLFauy5AINLrQAwWx9m,SOAASCM12A58A7DCA1,191440,small,train
193,193,An Orange and a Blue,The Appleseed Cast,3.0,2006,21788.0,Pop,Rock,0MkAzpDHUZpuDnWGUII4RN,09P5vTSU9W7ZzFWA0GUiaw,SOAASUU12A8C132AF2,251173,small,test
195,195,Miss Patricia Meagher,Silly Wizard,6.0,2006,5545.0,Folk&Accoustic,Rock,2qo4xct4APsg3LSerdPACx,7kjIx8jPvlj4RgeXHUyVXQ,SOAASXO12A8C132609,180387,small,test
200,200,Pon De Corner,Tanya Stephens,16.0,2009,63330.0,Reggae,Rock,0vL0HKEtNHGobKmDNarMFQ,0jeZIxOER2j9RbJqokIwja,SOAATYK12AB018893F,237227,small,train
217,217,The Weekend,Catlow,0.0,2006,,,,4DZ4UxYVAl0nw93QwFWnOx,06N2nqbN3L2CRHMKho1v0F,SOAAVHZ12AB017E497,215520,small,train
218,218,Linda Graciela - con Basilio Repilado,Compay Segundo,7.0,2003,97032.0,Folk&Accoustic,Jazz,2wpr4ILskkRzPBGodmbMs1,5AgQjYH4iYMlOuDGOvWPd9,SOAAVJU12A67ADCB7E,259800,small,train
230,230,Et puis merde je vote à droite !,Les Fatals Picards,17.0,2007,44967.0,Pop,Reggae,3oaj9AlMadVi3FkChhwFAz,0Zgzf0NaSxOBkpujrrsmJ9,SOAAWUC12A81C22D33,185493,small,train
231,231,Metric,Sound Of Stereo,8.0,2010,2438.0,Electronic/Dance,,52v3o293WmEA5vrvdk3aqN,4WcA0AQmpcGMuogCzWVU6I,SOAAWUF12AB018962B,330198,small,train
232,232,Take It,Staind,26.0,2001,1123153.0,Metal,Metal,5KDIH2gF0VpelTqyQS7udb,0HogGfosAvj4tF3GTv2KIE,SOAAXAA12A6D4F5E4A,215707,small,train
238,238,"Waiting, Hesitating",Kingdom,0.0,2010,,,,1J7nIhPaXD3fQHqLDW2WPV,6cSsAc5BCY3HzfPXKGXtjk,SOAAXJB12AB0186E11,143960,small,train
240,240,All I Wanna Do Is Fall In Love,Robyn Hitchcock,1.0,2007,15268.0,Pop,OTHER,0O0g9JMOVNoIgLG6dgaYMY,2fbOJuVGmOWwt2088jfZ6d,SOAAXRF12AB0180DD4,228400,small,train
246,246,London to Dhaka,State Of Bengal,1.0,2008,1956.0,Folk&Accoustic,,4YH1gcNLGkmYvKetcNnMjV,6T1YWUIUIUoqnuQ51qhx9z,SOAAXWU12AB018C9AB,310627,small,test
258,258,Down That Road,Wake Ooloo,0.0,1995,,,,0XgBVjEJlUXhIw4x5XjW0E,7bKuzMmKpExwgMC2seqrPq,SOAAZIZ12A8C140ECC,206360,small,train
260,260,Novità,Bandabardò,8.0,2000,52167.0,Pop,Pop,4IkkOpPLhBmRXfJH1b6m1H,4A7P1piVkC0QKxB5IOu39E,SOAAZKJ12A8C13A472,220587,small,train
265,265,Playtel Angels,Carmen 113,1.0,2004,682.0,Rock,,3wcfgYTtdxmXrhuUuq3kEe,3deW0hmLTFVKUGLi8kLudy,SOAAZUT12AAF3B50AF,171320,small,test
270,270,Poison The Choir,Indian Jewelry,0.0,2008,3162.0,Rock,,2USK61aeHWUtvxexmQGReZ,2L9WJ9VuLmyYXMhNWdiGfX,SOABADJ12A81C20A37,188640,small,train
271,271,Prayer for Beauty,Noe Venable,1.0,2007,474.0,OTHER,,0o2z2lzLWU62TubKKBkNTQ,5JTtMU4H2s0e9oi2feL4mI,SOABAEK12A8C13E728,276040,small,train
274,274,Open Your Mind - Stan Kolev Dubstab Remix,Daniel Portman,0.0,2010,10700.0,Electronic/Dance,,2HnZ1elnutngLH1BFwV1kM,5wJl3lTnc9pH8MZ1sro6iv,SOABAGT12A8C140CDB,480000,small,train
275,275,Love Is All,Chuck Loeb,33.0,2006,21614.0,Jazz,Jazz,02L5Rmh1RtTbHOBdzPzfoQ,6wDj3K5AjU2mLuF3PqL1c6,SOABATN12A8C138862,311008,small,train
278,278,Angels In The Room,Delta Goodrem,12.0,2007,99415.0,Pop,Pop,2g6fa86fL6oLcoDqanBbuR,4cBX4v2db0zh7v48NgSl8d,SOABBDQ12AAF3B2B08,262720,small,train
288,288,Meine Lieder,Udo Jürgens,3.0,1998,65312.0,Classical,Pop,2G0htB8PxlO2onxnIismur,4NRxADn0neuCf8lapXedzl,SOABCBR12A8C138D3A,324107,small,train
289,289,This Side Of The Door,Gene Watson,5.0,2005,26158.0,Country,Country,3VQfHuqrRK1CNXR1V8PeR9,4cmqHHxCSqko3FDx91JXZy,SOABCCP12A8C131B00,167480,small,train
295,295,You're A Jerk,Wasted Youth,14.0,1981,14103.0,Punk,Punk,5bLT5MVVkmRorRwHtVNH8m,03DR4IzB6F48bc7SAn3QME,SOABDVI12A6D4F8FDC,54867,small,test
300,300,Epatre,Nautilis,0.0,2002,,,,7cy4FiBBQEERLyrRaBy9Kx,2POVZ6Xkz4rPKUEeeW98jc,SOABEEK12A8C14173F,290880,small,train
318,318,Infinitely Late at Night,The Magnetic Fields,13.0,2004,116217.0,Rock,Folk&Accoustic,6RWjTQqILL7a1tQ0VapyLK,3XcgpvOeOVGKShSAilnoVn,SOABGIK12A8C139631,165827,small,train
320,320,Come On Feet,Pete And The Pirates,20.0,2008,13471.0,Rock,,4s80V6BJwBbS1UEbjeQejQ,5O86r5McLiZ6l9RoXqtO4B,SOABGML12A8C138463,158880,small,train
321,321,Up Side Down,Drowning Pool,17.0,2008,760231.0,Metal,Metal,1E4r4z7ivGUcSAnCbINJ9v,4bv37ZKqoSIGU5yOefrE24,SOABGQW12AB017CFB2,258213,small,test
328,328,Cherry Kicks,Caesars,13.0,2000,38292.0,Rock,,4rGrN4XDYhP6dUAZMvcuHr,484iHLvGEYihbk5Jq7zzlj,SOABGWW12AF729E537,240600,small,train
331,331,Bring Down the Sky,Miranda Sex Garden,3.0,1993,4951.0,Punk,Pop,5Kvo1gV5usYbYwY4XkBFDV,4giQ0bUpLx4UdmFPGDXjro,SOABHDW12A6D4F8099,456667,small,train
337,337,Grand Dome,Biosphere,11.0,2000,38253.0,Hip-hop,Electronic/Dance,2rcnAZ6DvORQ365X3zVYpr,4bSDMXRfW6GpHkzqcB1Wcl,SOABHMR12A67ADA631,336253,small,train
338,338,Zingu 7,Zola,8.0,2006,,,,6ylkDmy2tjBiqgE5ki7CFH,3sxJlbcLIDvXZLbGSNnyq9,SOABHNH12A6D4F8196,162106,small,train
339,339,El Dia Que Me Quieras,Alberto Cortez,3.0,1984,94126.0,OTHER,OTHER,0Iww53p8UY2oYtQhfzsSY9,3cXoUsCbbA1PPEHbWhVYhM,SOABHQL12A8C142109,318720,small,train
342,342,Goodbye,Save Ferris,33.0,1997,57892.0,Punk,Reggae,1PAi6SNPtaiFqTRiTfecFr,1AiVqGWu6HcyLYuB0BMvcS,SOABHXF12A8C130F3F,222627,small,train
346,346,Shallow Waters,Amberian Dawn,13.0,2009,30050.0,Metal,Metal,01DQQFGEOzbFugH5FcVAgI,5zDPzsSXPoUiyVtn96G98U,SOABIOA12A8C140AFD,217813,small,train
353,353,Tales from the Crypt,Devlin,9.0,2010,102454.0,Electronic/Dance,Electronic/Dance,7Ks3elJhSP20mD04lgiA68,4R0VcfTVNKhyaiaBbfFih1,SOABJCJ12AC3DF7E74,180187,small,test
358,358,Midnight Rider - Live at The Hammersmith Odeon 25/10/81;2009 Remastered Version,Saxon,0.0,2014,215389.0,Rock,Metal,71vVmHeNgCVSa5SVmfvscU,0Lax1qQh7V3jl555dXrKBY,SOABJVC12AB0181D51,339907,small,train
362,362,Evon,Blackmail,12.0,2003,4535.0,Indie,,5DsD6cuZHwoa9jWS33QyCA,0cihVwV3A5s4EaxcC8c4vN,SOABJYR12A6701C47C,291960,small,train
364,364,Assassinations,Bill Laswell,1.0,1999,10551.0,OTHER,Folk&Accoustic,5RISqKCcrhGITX2TQAPGPL,43h4HhI1y8JcE4R19q3GCQ,SOABKCO12A8C13D42C,33427,small,train
374,374,Stoptime Rag - Remastered,Scott Joplin,0.0,2013,28973.0,Classical,Classical,5FgkTUuCNKDlilidPvZqOq,4Bd4mC2bETaIRsj1BAfsjl,SOABLQX12A8151AF77,176325,small,train
383,383,Drifting Away,Gustaf Spetz,0.0,2009,882.0,Pop,,2c8nKkZAAzxMI0IXq3Hat7,3GvF3Jna1Dvetjlxxf05sh,SOABMZE12AB0188BFC,293360,small,train
387,387,Après Le Show,Sir Samuel,5.0,2005,4210.0,Reggae,,4BFBBQTithUwyNg0XQfDw3,5Mbg2Wkcb5zLBc3DjfhFaa,SOABNPC12A8C13A9CC,224493,small,test
390,390,What Did I Do,John Michael Montgomery,20.0,2008,365322.0,Country,Country,7mPcfx7PhnBh6n4HMCd61A,1Y4Siw0Ume0HMdMmWRcxpq,SOABNRC12AB01844D6,200080,small,train
394,394,Hepatic Tissue Fermentation,Carcass,1.0,2009,139597.0,Metal,Metal,5lhaM01nwvsMZpmPY2HVER,0xgKEyPnq7gGMuWtaggHtS,SOABOEH12AB0182783,371933,small,train
395,395,Rail On,Papa Wemba,23.0,1995,18955.0,Soul,OTHER,6a4cdntqTPN10fph5A8zRQ,11XhdfiJyAwhsR8PUtKHFn,SOABOEP12A6D4F820B,146333,small,train
397,397,Tell Me What I Want to Hear,Jean Shepard,0.0,2013,8770.0,Country,Country,3lQuLlW6tYv1nm3nzyJ6Ty,0CeO7a068uB1xJaVSE0kyB,SOABOFQ12A6D4F86A4,146866,small,train
403,403,Occasioni,Gigi Finizio,10.0,2011,41566.0,Pop,Pop,22XVSTMZerjq8l2QxXNMFY,66wDrlwf4tS6tIKwNWH5gc,SOABPDL12A6D4F53AC,207347,small,train
404,404,Ragnarok,Gwar,26.0,1995,79512.0,Metal,OTHER,3dnH7fdVm2X07MK6Fkbhbt,5uHn1IB0pn0g5J69GzXAhK,SOABPIN12AB018340B,238600,small,train
407,407,Oma perhe,Pikku G,18.0,2003,14919.0,Pop,Hip-hop,52k2KcEXIZTnYD2EpOoJiZ,5lpCu1DbIDpBSdbQGihUxg,SOABPOY12A67ADD435,205147,small,train
410,410,A Business,Cocoa Tea,2.0,1998,48063.0,Reggae,Electronic/Dance,7z7anCUBwfJUFuTQ4D1x6R,1zrEBVMgLMBipXSANqcjKU,SOABPXM12A8AE48845,256840,small,train
418,418,The Ghost,James Yuill,11.0,2015,,,,0jypmaLN034G9UkeQdqsps,0hn6rxdSpz7u2StcVryoxb,SOABQLK12AB0182C50,236853,small,test
419,419,Who's That Girl,Madonna,49.0,1987,2725399.0,Pop,Pop,6tbjWDEIzxoDsBA1FuhfPW,21vHnROXDZY51gJxsjTLXZ,SOABQTG12A6701F3DB,239173,small,train
432,432,Raymond Chandler Evening,Robyn Hitchcock & The Egyptians,1.0,2008,3410.0,Pop,Pop,3B1VQErUlM3ZZ6d1EwYd2K,6Nrxvi6gabVoRIkMRHfp0Q,SOABRPC12AB0181B43,134080,small,train
436,436,Runaway,Riot,13.0,1990,29661.0,Rock,Rock,2TTfkn3oA5dSvqmvVxjUxR,5FOAmXcMIy0Sq5fOOd1SPR,SOABRTM12AC468770A,311173,small,train
440,440,FTP,George Lopez,27.0,2007,31890.0,OTHER,,6emrXi84Xjdb8YcEm82XEZ,5TIhU2HoNgUOgEIzKHwFFG,SOABSIP12A8AE477A2,254000,small,train
447,447,My People,EG,0.0,2009,,,,2XzCwbakqvOTMaGIXcJE6T,4bm6aRyGNl2LDWHuKlrske,SOABTEP12AB017C3BA,199000,small,train
450,450,Nothing's Clear,Ill Niño,0.0,2005,177523.0,Metal,Metal,1xJ6l1VXgGuyZ0uhu27caF,5cHsk4nXsmNJXS1lXfLLO0,SOABTKM12A8AE4721E,200747,small,train
453,453,El Habil Reino Del Desconcierto,Hamlet,2.0,2009,21621.0,Metal,Metal,5bTh3KLGlKlcloVl318t1h,0rR1GoV4VfMJBaAWvXaxsG,SOABTNH12AB017CE40,365653,small,train
462,462,Buried Dreams,Carcass,14.0,1996,139597.0,Metal,Metal,5lhaM01nwvsMZpmPY2HVER,6OmtMiGTUZ0l06dcIYSAsC,SOABUHK12AF729E5E2,245093,small,test
465,465,Burn| Babylon| Burn,Alec Empire,0.0,1997,6104.0,Electronic/Dance,Punk,3YGigudQiWDb5NdJOC5StS,6P2H7lZxaPXllxuVsNwpSE,SOABUKU12AB01840C4,215733,small,test
469,469,Countdown,Brad Mehldau,14.0,1995,89719.0,Jazz,Jazz,2vI9KFm0fwSfPrpEgOeIbq,3Xof3jYaVXRtGnmiREePG1,SOABUSJ12A8C13B592,251893,small,test
478,478,Safe Safe Safe,Bracken,1.0,2007,,,,05ASjeJph9idHI9O6sbOy5,50Oe3Gj8PMyh2Mg9z5kqzv,SOABWIK12A6D4FA3C8,270333,small,test
479,479,Hasta Morir,Caifanes,45.0,1992,1301914.0,Latin,Rock,1GImnM7WYVp95431ypofy9,1WrK98KVZxkTgMD3a9Kpnl,SOABWOG12AB017C97A,224840,small,test
483,483,Rock About My Sarah Jane,Uncle Dave Macon,0.0,2005,1932.0,Folk&Accoustic,Jazz,5Aa1aFuL2vUePqwhMFnxO0,0CUsxIT5Qmce5fJjtXhohu,SOABWYP12AC4689CC8,201200,small,test
498,498,Until the Time Is Through - International Version,Five,2.0,1998,162709.0,Pop,Pop,6rEzedK7cKWjeQWdAYvWVG,0FaE9xdZXh3CmeILOBtIcU,SOABYRL12A58A775E3,255040,small,test
500,500,Mi habitacion en tus pupilas,Carlos Chaouen (F),8.0,2000,,,,7Bg0C3IXoPyISFXQg7Ryla,4uSiCyHkpZ2Gc6lecpLnht,SOABYYA12A6D4F641C,208973,small,test
505,505,Headcase,Grade 8,7.0,2003,,,,4c1JZrEC8vqzikQBL1qj3n,4bDo4UtEJnPl6lsn3X9SaY,SOABZIO12AB0184C86,229827,small,train
511,511,South Pole Fighters,The Damage Manual,1.0,2005,897.0,Rock,,6gX3bKHMF4z9NY4FjBmnkK,1lPDnHH7TySDFJCacbm6U2,SOABZPN12A8C13A748,189493,small,train
512,512,Magico Incontro,G.P. Reverberi,2.0,1997,,,,1OOhRXbEui67MNMmYyCNK8,5Y6cpz5KpZakOSxw90jloa,SOABZPP12A8C1402BE,181400,small,test
515,515,Oyeme Aggayu,Celia Cruz,0.0,2012,230357.0,Folk&Accoustic,Latin,2weA6hhVqTIN2gSn9PUB9U,1sIZmxZNFIny82iw4iEJkj,SOABZWY12AB0184181,166627,small,train
532,532,Victims,Shocking Pinks,1.0,2007,,,,1Z1HMpxbv4ykNXe7RH8xuR,3KzorhMALFXxuXo7rt96YW,SOACBMN12A8C13DDCA,138467,small,train
546,546,Got to Be There,Catalyst,0.0,2009,,,,5BUvEn0b9UINb25kXZpdhp,4xupkZk57ecilelkCh6f3d,SOACDBB12AB018934C,163267,small,test
554,554,Sorted Out,One for the Team,0.0,2010,,,,28AiprYlx7VuBuEj87b3i7,5ph1xuV8j3niblccSkiJvh,SOACDZY12AB01893C5,198867,small,train
560,560,Oppi Ura,Bjørn Torske,1.0,2003,7607.0,Electronic/Dance,,4mD9kXHOs76Ld1m2Vfyi68,6kwglwZeWRxXnAzLvSn9UN,SOACEWP12AB0184609,403560,small,train
570,570,"Hungarian Dance No. 3 in F Major, WoO 1: Allegretto",London Festival Orchestra,0.0,2010,,,,3akUqAy3Q1WqRZqceC4jW9,5qCdulIu3PTXwBHl8UL7o6,SOACFOG12AB01832A9,135000,small,train
573,573,Hi-Heel Sneakers - Remix,Paul Revere & The Raiders,0.0,1990,62464.0,Pop,Pop,32HPpJAhgnGPT3V7UOggzi,5QWmP1uLBMWsQ81Vx5r2vX,SOACGEU12A8C133DA3,165800,small,train
574,574,Only Lovers Left Alive,The Long Blondes,14.0,2006,7099.0,Electronic/Dance,Indie,1OYQ8FaGjBFrENUZ1RLvMG,31gJA5aX6Pnu4yGBJSJb3R,SOACGKX12A6D4F8898,239533,small,test
592,592,Ground Crew - 2007 Remastered Version,Robert Calvert,4.0,2007,1628.0,Rock,,771qvHyP8sIFxx8dnEFWU5,3Vbcqf1Blrh89ztdHGDIk0,SOACHVK12A8C131D2A,194587,small,train
597,597,He Moves Eyes Follow,Jimmy Webb,6.0,2007,5076.0,Folk&Accoustic,,0YJUdunUDA1pTDxJ8AJlyB,1I1dY7yxwlMvEhHRZqIv7g,SOACIHV12AF72A6564,206747,small,train
619,619,Holier Than No One,Woods,2.0,2007,59509.0,Indie,Pop,2sBPVEeMBXKNsZtYaJixnJ,1hnWc6zlOY04KK5lAvk1m5,SOACJQQ12A3F1ECD78,307213,small,train
626,626,Hard Like It's A Pose,Alec Empire,1.0,1997,6104.0,Electronic/Dance,Punk,3YGigudQiWDb5NdJOC5StS,55PNjs01Pvlz9BABvC6gy9,SOACJZU12AB017F76E,348200,small,train
635,635,Rest of the World,Skankin' Pickle,10.0,1996,14400.0,Punk,Reggae,26BpEfuiARwt9sdvkKWr6S,0QmKssJTnSfndHYy8n5NVw,SOACKQI12A58A7D55B,91240,small,test
639,639,Bitter Sweet - Instrumental,Sopor Aeternus & The Ensemble Of Shadows,6.0,2008,35525.0,Punk,Pop,4DJ9mOfSKt9vg0Zhlwf6te,0WBywT2xL96ksHOjOilLFw,SOACKSZ12AB0185E20,331813,small,train
643,643,Jet,Helen Love,1.0,2007,1732.0,Pop,Rock,0ypZZtxEt7WJHjFIof8qWi,3hmM4nFHsKIMjW3msiVObF,SOACKZO12AC9072D17,191520,small,train
644,644,Mausolos,Frantic Bleep,1.0,2005,437.0,Metal,Metal,5gmGBrwA3UvMwEVwKLrs0w,3COHiHE1hzRCUOvx6VAEW6,SOACLBJ12AB0184E49,278800,small,train
645,645,Rabo de Foguete,Bezerra Da Silva,9.0,1984,191213.0,Hip-hop,Electronic/Dance,3aqtJPuhfwxQ60jG1OAFQt,4Ndm9I0MnjYHgDe0AEp972,SOACLBT12AB01809A8,167800,small,train
649,649,Doba Ledova,Umakart,5.0,1900,970.0,Rock,,0VK1MBJyCrMZu9WpaV6TyG,6z7aBvSurQfwl9R8QKSY0h,SOACLIY12A8C13E23C,190440,small,train
655,655,Bring It Back,Kris Allen,17.0,2009,101312.0,Pop,Pop,2zwHaEmXxX6DTv4i8ajNCM,5fM41TOegBBrRO7NhmFYvP,SOACLWZ12AB017BFCC,222480,small,train
657,657,I Came From The Future,The Lillingtons,19.0,1999,13586.0,Rock,Punk,3DRyYmaDKNmiTVzvMtAmhX,2T1lerPY9FutFgOdbJpA5r,SOACMBS12AB0188BFF,98027,small,test
660,660,Big Trouble,A Breach On Heaven,1.0,2008,246.0,Electronic/Dance,,6RaRgYiEZ31mNVnDzhLVdL,7hO3pnPIVSAlmldZtnHmkb,SOACMGW12A8C136583,228453,small,train
661,661,Footprints in the Sand - Single Mix,Leona Lewis,39.0,2007,1521398.0,Pop,Pop,5lKZWd6HiSCLfnDGrq9RAm,7t1veDv7FWHYXskQEoU7dq,SOACMQD12A8C141D6B,236107,small,test
670,670,Zing! Went The Strings Of My Heart,Smoking Popes,5.0,2001,10040.0,Pop,Punk,4PKAg3S6JyEG8N9wgjD0fu,5eRIyFiO0nPpAkjoJJp3FO,SOACNKF12A58A76AFB,173747,small,train
672,672,The Jatz,Liliput,0.0,2010,1134.0,Rock,,3SWm16ID5OfrCqf8RhMeDd,1kfkzrJlNZ4BEXhq7ntNqA,SOACNQB12AB01890F0,218547,small,train
678,678,Driving In Your Car,Soda Fountain Rag,0.0,2011,178.0,Indie,,5fKk78KWsxyFtotdEjKTMP,66DmfdsS1q721l5kYoJzmP,SOACOHP12A81C20396,155827,small,train
680,680,Que Me Alcance la Vida,Sin Bandera,50.0,2005,2054133.0,Latin,Pop,7xeM7V59cA1X8GKyKKQV87,5pbMJWLEzbU0HNQBffJyRx,SOACONW12AB017C807,228560,small,train
682,682,House On Fire,Arkarna,10.0,1997,,,,66HrV4IC0VbLmy0vF3sqty,49vpPagMrWaSIbkoxNE2ba,SOACOWP12A8AE457AF,328267,small,train
687,687,Childhood Dreams,Jazzamor,3.0,2002,22892.0,Jazz,Jazz,4pscokdOfijCHyRyVc9N4k,5tzEF5snQ1tdM7HWcjZOyB,SOACPKN12A8C14040D,248560,small,train
689,689,The Beat,Snapcase,13.0,2002,16471.0,Rock,Metal,1egTA9mNgTwglPEQLmMd9W,7446nGjkHuEH4lfRPELwNR,SOACPWT12A6D4FBED2,132387,small,train
